AUTOID;INSTALACIONID;REGIMEN;INSTALACION;AUTONOMIA
276;;ORDINARIO;ESPOT 2;Cataluna
277;;ORDINARIO;ESTANY GENTO-SALLENTE 1;Cataluna
278;;ORDINARIO;ESTANY GENTO-SALLENTE 2;Cataluna
279;;ORDINARIO;ESTANY GENTO-SALLENTE 3;Cataluna
280;;ORDINARIO;ESTANY GENTO-SALLENTE 4;Cataluna
281;;ORDINARIO;ESTERRI 1;Cataluna
282;;ORDINARIO;ESTERRI 2;Cataluna
283;;ORDINARIO;ESTERRI 3;Cataluna
284;;ORDINARIO;EUME GR 1;Galicia
285;;ORDINARIO;EUME GR 2;Galicia
286;;ORDINARIO;FLIX 1;Cataluna
287;;ORDINARIO;FLIX 2;Cataluna
288;;ORDINARIO;FLIX 3;Cataluna
289;;ORDINARIO;FLIX 4;Cataluna
290;;ORDINARIO;GAVET 1;Cataluna
291;;ORDINARIO;GAVET 2;Cataluna
292;;ORDINARIO;GOBANTES;Andalucia
293;;ORDINARIO;GUADALEN;Andalucia
294;;ORDINARIO;GUADALMELLATO;Andalucia
295;;ORDINARIO;GUADALMENA;Andalucia
296;;ORDINARIO;GUILLENA 1;Andalucia
297;;ORDINARIO;GUILLENA 2;Andalucia
298;;ORDINARIO;GUILLENA 3;Andalucia
299;;ORDINARIO;HUERMEDA;Aragon
300;;ORDINARIO;IZNAJAR 1;Andalucia
301;;ORDINARIO;IZNAJAR 2;Andalucia
302;;ORDINARIO;JANDULA 1;Andalucia
303;;ORDINARIO;JANDULA 2;Andalucia
304;;ORDINARIO;JANDULA 3;Andalucia
305;;ORDINARIO;JAUJA 1;Andalucia
306;;ORDINARIO;JAUJA 2;Andalucia
307;;ORDINARIO;JAUJA 3;Andalucia
308;;ORDINARIO;JUEU;Cataluna
309;;ORDINARIO;LA BAELLS;Cataluna
310;;ORDINARIO;LA RIBEIRA GR 1;Galicia
311;;ORDINARIO;LA SERENA;Extremadura
312;;ORDINARIO;LA VEGA 1;Andalucia
313;;ORDINARIO;LA VEGA 2;Andalucia
